id;org_nom;org_adresse;code_postal;commune;url;niveau_enfant;titre;activite;public;type_ressource;thematiques;handicap_adapt;duree_txt;perennite;rattachement;thematique_autre;autre_precise;geo;lat;lon;code_postal_num;duree_min;description;long_duration;is_for_kids;is_accessible;date
2704;Opéra de Rennes;Place de la Mairie;35000;Rennes;https://opera-rennes.fr/fr/opera-sur-ecrans;;Opéra sur écran(s);Concerts, spectacles;;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ;MUSIQUE|CONCERTS ET OPÉRAS;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;42.927273,2.26296;42.927273;2.26296;35000;120;Dans le cadre de l'opération Opéra sur écrans retrouvez la retransmission de l'opéra La Chauve-Souris de Johann Strauss.;false;false;false;2023-12-21
834;Fonds régional d'art contemporain - Pays de la Loire;24 bis Boulevard Ampère, La Fleuriaye;44470;Carquefou;http://fracdespaysdelaloire.com/fr/les-publics/enseignants/documents/analyse-d-oeuvres;;Dossiers pédagogiques;Approfondir ses connaissances;Parents / Éducateurs;RESSOURCES PÉDAGOGIQUES;ARTS DÉCORATIFS|DESIGN|MÉTIERS D’ART;;Le temps d’un week-end;Accès gratuit exceptionnel et limité dans le temps;Ministère de la Culture ou opérateur national;;;47.301962,-1.50313;47.301962;-1.50313;44470;2880;Pendant toute la période du confinement, le Frac des Pays de la Loire propose de découvrir chaque semaine une œuvre d'un artiste. Pour l'accompagner, le Frac a imaginé un petit atelier à faire seul.e, en famille ou entre ami.es de confinement.;true;false;false;2023-01-11
849;Hadopi;4 Rue du Texel;75014;Paris;https://hadopi.fr/ressources/modules-pedagogiques-enseignant;;Le droit d'auteur expliqué;Approfondir ses connaissances;Parents / Éducateurs;RESSOURCES PÉDAGOGIQUES;AUDIOVISUEL;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;48.837059,2.31959;48.837059;2.31959;75014;120;L'Hadopi a réalisé des modules pédagogiques pour sensibiliser les élèves sur les enjeux du droit d'auteur en ligne en les plaçant en tant que créateur, les informer des risques d’une consommation illicite sur Internet, mais aussi de leur apprendre les bons réflexes pour une consommation culturelle en ligne légale et adaptée au jeune public.;false;false;false;2025-03-12
860;Institut national de l'audiovisuel (INA);18, avenue des Frères-Lumière;94366;Bry-sur-Marne;https://madelen.ina.fr/;;Madelen;Films, documentaires, vidéos;Tous publics;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ;AUDIOVISUEL;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;48.836527,2.532676;48.836527;2.532676;94366;150;Une programmation inattendue et éclectique de 13 000 programmes, soit la quintessence de millions d’heures de contenus conservés par l’INA aujourd’hui accessibles au grand public pour 2,99 euros par mois. A situation exceptionnelle, dispositif exceptionnel : l'INA vous offre 3 mois d'abonnement gratuits.;true;false;false;2023-08-22
861;Institut national de l'audiovisuel (INA);18, avenue des Frères-Lumière;94366;Bry-sur-Marne;https://www.youtube.com/user/Inaculte;;INA Culte;Films, documentaires, vidéos;Tous publics;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ|EXPOSITIONS VIRTUELLES;AUDIOVISUEL|HISTOIRE;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;48.836527,2.532676;48.836527;2.532676;94366;150;Les plus grands moments, les souvenirs inoubliables, un zapping de la télévision française depuis 40 ans.;true;false;false;2022-12-02
866;Institut national de l'audiovisuel (INA);18, avenue des Frères-Lumière;94366;Bry-sur-Marne;https://www.ina.fr/pages-carrefours/fresques-interactives;;Fresques interactives;Approfondir ses connaissances;Parents / Éducateurs;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ|EXPOSITIONS VIRTUELLES;AUDIOVISUEL|HISTOIRE;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;48.836527,2.532676;48.836527;2.532676;94366;120;Découvrir à travers les nombreuses archives disponibles des thématiques très diversifiées. Chaque sujet traité donne accès à des vidéos contextualisées et plusieurs parcours pédagogiques spécifiques.;false;false;false;2022-12-12
1021;Musée des Beaux-Arts;20 place des Terreaux;69001;Lyon;https://www.mba-lyon.fr/fr/type-de-collection/54-tableaux-en-gigapixel;;54 tableaux en Gigapixel;Expos, musées;Tous publics;IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES;MUSÉES|PEINTURE;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;45.767177,4.833576;45.767177;4.833576;69001;10;Plus de 50 œuvres à explorer dans leurs moindres détails ! Voici le défi qu'a relevé le musée des Beaux-Arts pour le plus grand plaisir des yeux. Grâce à la photographie en gigapixel, plongez dans les œuvres et admirez leurs détails, imperceptibles à l'œil nu ! Expérience inédite garantie.;false;false;false;2025-04-16
1038;Musée du Louvre;Rue de Rivoli;75001;Paris;https://www.youtube.com/user/louvre/featured;;Le Louvre sur Youtube;Films, documentaires, vidéos;Tous publics;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ;MUSÉES|PEINTURE|SCULPTURE;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;48.862527,2.335861;48.862527;2.335861;75001;150;"Suivez les YouTubeurs dans les salles du musée, revivez les grandes conférences données à l’Auditorium du Louvre, retrouvez les présentations des expositions temporaires avec les commissaires, plongez dans le passé avec les archives du Louvre … Et bien plus encore ! ;)";true;false;false;2022-10-04
601;Archives départementales - Hérault;Domaine départemental pierresvives, 907 rue du Professeur Blayac;34000;Montpellier;https://archives-dep-herault.yunow.app/8-jouons-avec-les-archives/320-menu;Collège;Jouons avec les archives;Jeux;Enfants;JEUX;ARCHIVES;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;43.623117,3.831219;43.623117;3.831219;34000;60;;false;true;false;2025-03-21
677;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://gallica.bnf.fr/conseils/content/photographie;;Gallica - Photographie;Approfondir ses connaissances;Tous publics;LIVRES NUMÉRIQUES;HISTOIRE|LITTÉRATURE|SCIENCES HUMAINES|LANGUES;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;48.833194,2.378216;48.833194;2.378216;75706;150;Sur Gallica, découvrez la photographie à travers un choix de clichés mais aussi des  sélections qui vous permettent d’accéder à des corpus thématiques : ces ensembles proposent ainsi des photographies de 1839 à 1940 classées par procédé, collection ou photographe (Nadar, Le Gray, Atget, etc.), des images de sports, de spectacles ....;true;false;false;2024-05-08
